league,season,team,player,nation,pos,age,born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ENG-Premier League,1920,Everton,Theo Walcott,ENG,"MF,FW",30,1989,14.3,2,31,10,32.3,2.17,0.7,0.06,0.2,16.1,0,0,0,3.1,3.1,0.1,-1.1,-1.1
ENG-Premier League,1920,Everton,Tom Davies,ENG,MF,21,1998,22.5,1,17,5,29.4,0.75,0.22,0.06,0.2,17.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6
ENG-Premier League,1920,Everton,Yerry Mina,COL,DF,24,1994,25.4,2,29,11,37.9,1.14,0.43,0.07,0.18,10.7,0,0,0,3.4,3.4,0.12,-1.4,-1.4
ENG-Premier League,1920,Leicester City,Ayoze Pérez,ESP,"MF,FW",26,1993,22.3,8,46,21,45.7,2.07,0.94,0.15,0.33,14.5,0,1,1,6.5,5.7,0.13,1.5,1.3
ENG-Premier League,1920,Leicester City,Ben Chilwell,ENG,DF,22,1996,26.4,3,16,6,37.5,0.61,0.23,0.19,0.5,19.1,0,0,0,1.0,1.0,0.06,2.0,2.0
ENG-Premier League,1920,Leicester City,Christian Fuchs,AUT,DF,33,1986,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,25.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2
ENG-Premier League,1920,Leicester City,Demarai Gray,JAM,"MF,FW",23,1996,6.9,2,22,7,31.8,3.18,1.01,0.09,0.29,19.8,3,0,1,2.8,2.0,0.09,-0.8,0.0
ENG-Premier League,1920,Leicester City,Dennis Praet,BEL,MF,25,1994,12.6,1,16,3,18.8,1.27,0.24,0.06,0.33,18.6,0,0,0,0.9,0.9,0.06,0.1,0.1
ENG-Premier League,1920,Leicester City,George Hirst,ENG,"MF,DF",20,1999,0.1,0,3,1,33.3,24.55,8.18,0.0,0.0,13.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1920,Leicester City,Hamza Choudhury,ENG,MF,21,1997,9.9,1,7,2,28.6,0.71,0.2,0.14,0.5,16.2,0,0,0,0.4,0.4,0.05,0.6,0.6
ENG-Premier League,1920,Leicester City,Harvey Barnes,ENG,"MF,FW",21,1997,23.1,6,61,28,45.9,2.64,1.21,0.1,0.21,16.7,0,0,0,8.1,8.1,0.13,-2.1,-2.1
ENG-Premier League,1920,Leicester City,James Justin,ENG,"DF,MF",21,1998,11.2,0,7,0,0.0,0.62,0.0,0.0,,20.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ENG-Premier League,1920,Leicester City,James Maddison,ENG,MF,22,1996,29.2,6,74,18,24.3,2.54,0.62,0.08,0.33,22.0,14,0,0,5.3,5.3,0.07,0.7,0.7
ENG-Premier League,1920,Leicester City,Jamie Vardy,ENG,FW,32,1987,33.7,23,84,37,44.0,2.49,1.1,0.23,0.51,13.1,0,4,5,19.2,15.3,0.19,3.8,3.7
ENG-Premier League,1920,Leicester City,Jonny Evans,NIR,DF,31,1988,37.6,1,23,8,34.8,0.61,0.21,0.04,0.13,8.4,0,0,0,3.7,3.7,0.16,-2.7,-2.7
ENG-Premier League,1920,Leicester City,Kasper Schmeichel,DEN,GK,32,1986,38.0,0,1,0,0.0,0.03,0.0,0.0,,56.1,1,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,1920,Leicester City,Kelechi Iheanacho,NGA,FW,22,1996,10.7,5,36,20,55.6,3.38,1.87,0.14,0.25,15.4,0,0,0,6.0,6.0,0.17,-1.0,-1.0
ENG-Premier League,1920,Leicester City,Luke Thomas,ENG,"MF,DF",18,2001,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Leicester City,Marc Albrighton,ENG,"MF,DF",29,1989,9.6,0,10,2,20.0,1.04,0.21,0.0,0.0,20.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ENG-Premier League,1920,Leicester City,Matty James,ENG,MF,28,1991,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Leicester City,Nampalys Mendy,SEN,MF,27,1992,3.2,0,1,1,100.0,0.31,0.31,0.0,0.0,28.9,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,1920,Leicester City,Ricardo Pereira,POR,DF,25,1993,28.0,3,18,5,27.8,0.64,0.18,0.17,0.6,18.4,0,0,0,1.2,1.2,0.06,1.8,1.8
ENG-Premier League,1920,Leicester City,Ryan Bennett,ENG,DF,29,1990,3.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Leicester City,Wes Morgan,JAM,DF,35,1984,4.8,0,4,2,50.0,0.83,0.41,0.0,0.0,10.0,0,0,0,0.5,0.5,0.14,-0.5,-0.5
ENG-Premier League,1920,Leicester City,Wilfred Ndidi,NGA,MF,22,1996,29.7,2,26,3,11.5,0.88,0.1,0.08,0.67,19.2,0,0,0,1.6,1.6,0.06,0.4,0.4
ENG-Premier League,1920,Leicester City,Youri Tielemans,BEL,MF,22,1997,31.4,3,56,13,23.2,1.78,0.41,0.05,0.23,23.8,0,0,0,2.7,2.7,0.05,0.3,0.3
ENG-Premier League,1920,Leicester City,Çağlar Söyüncü,TUR,DF,23,1996,33.7,1,17,5,29.4,0.5,0.15,0.06,0.2,10.3,0,0,0,2.1,2.1,0.12,-1.1,-1.1
ENG-Premier League,1920,Liverpool,Adam Lallana,ENG,"MF,FW",31,1988,4.2,1,5,1,20.0,1.18,0.24,0.2,1.0,16.3,0,0,0,0.8,0.8,0.15,0.2,0.2
ENG-Premier League,1920,Liverpool,Adrián,ESP,GK,32,1987,9.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Liverpool,Alex Oxlade-Chamberlain,ENG,"MF,FW",25,1993,16.5,4,40,10,25.0,2.42,0.61,0.1,0.4,22.5,0,0,0,2.8,2.8,0.07,1.2,1.2
ENG-Premier League,1920,Liverpool,Alisson,BRA,GK,26,1992,28.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Liverpool,Andrew Robertson,SCO,DF,25,1994,34.6,2,22,6,27.3,0.64,0.17,0.09,0.33,18.6,0,0,0,1.8,1.8,0.08,0.2,0.2
ENG-Premier League,1920,Liverpool,Curtis Jones,ENG,MF,18,2001,1.4,1,6,2,33.3,4.29,1.43,0.17,0.5,17.4,0,0,0,0.4,0.4,0.07,0.6,0.6
ENG-Premier League,1920,Liverpool,Dejan Lovren,CRO,DF,30,1989,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,8.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4
ENG-Premier League,1920,Liverpool,Divock Origi,BEL,FW,24,1995,8.0,4,14,6,42.9,1.76,0.75,0.29,0.67,15.7,0,0,0,1.8,1.8,0.13,2.2,2.2
